size
"2",,"","","","","arm-none-eabi-gcc (GCC) 12.1.0"
"","-Os -std=gnu89 -marm -mcpu=arm966e-s -mno-thumb-interwork"
bzip2-1.0.2,huffman,1500
bzip2-1.0.2,decompress,9739
bzip2-1.0.2,bzip2recover,3785
bzip2-1.0.2,crctable,1024
bzip2-1.0.2,compress,8551
bzip2-1.0.2,randtable,2048
bzip2-1.0.2,bzlib,11511
bzip2-1.0.2,blocksort,6775
bzip2-1.0.2,bzip2,17789
cg_compiler_opensrc,support,26251
cg_compiler_opensrc,cgcmain,2611
cg_compiler_opensrc,constfold,4720
cg_compiler_opensrc,support_iter,2362
cg_compiler_opensrc,symbols,7133
cg_compiler_opensrc,printutils,11095
cg_compiler_opensrc,atom,3684
cg_compiler_opensrc,cpp,7254
cg_compiler_opensrc,compile,14346
cg_compiler_opensrc,cgstruct,124
cg_compiler_opensrc,tokens,3245
cg_compiler_opensrc,binding,1715
cg_compiler_opensrc,hal,2935
cg_compiler_opensrc,stdlib,3222
cg_compiler_opensrc,check,3665
cg_compiler_opensrc,generic_hal,2603
cg_compiler_opensrc,memory,656
cg_compiler_opensrc,tokenize,678
cg_compiler_opensrc,scanner,6811
cg_compiler_opensrc,parser,16051
cg_compiler_opensrc,semantic,4786
cg_compiler_opensrc,inline,3006
compiler,cg,3007
compiler,vam,4115
compiler,vas,6498
compiler,scanner,3555
compiler,parser,4792
compiler,main,2638
flex-2.5.31,regex,631
flex-2.5.31,yylex,1288
flex-2.5.31,skel,94034
flex-2.5.31,filter,2393
flex-2.5.31,scanopt,3718
flex-2.5.31,ccl,1172
flex-2.5.31,parse,9030
flex-2.5.31,nfa,3996
flex-2.5.31,misc,6110
flex-2.5.31,scan,44672
flex-2.5.31,dfa,7650
flex-2.5.31,tblcmp,3832
flex-2.5.31,tables,2197
flex-2.5.31,buf,1087
flex-2.5.31,ecs,560
flex-2.5.31,sym,987
flex-2.5.31,libmain,20
flex-2.5.31,tables_shared,36
flex-2.5.31,options,2610
flex-2.5.31,libyywrap,8
flex-2.5.31,main,18174
flex-2.5.31,gen,24066
jikespg-1.3,src/mkstates,3254
jikespg-1.3,src/prntstat,3648
jikespg-1.3,src/resolve,13236
jikespg-1.3,src/globals,264
jikespg-1.3,src/ctabs,49280
jikespg-1.3,src/produce,11785
jikespg-1.3,src/mkred,7320
jikespg-1.3,src/ptables,3523
jikespg-1.3,src/lpgparse,48309
jikespg-1.3,src/lpgutil,5123
jikespg-1.3,src/spacetab,21572
jikespg-1.3,src/remsp,8382
jikespg-1.3,src/partset,1816
jikespg-1.3,src/mkfirst,15396
jikespg-1.3,src/main,6255
jikespg-1.3,src/tabutil,14290
jikespg-1.3,src/timetab,10268
jpeg-6b,jcmainct,480
jpeg-6b,wrtarga,1168
jpeg-6b,jdmainct,1748
jpeg-6b,jdsample,1824
jpeg-6b,jdmaster,2152
jpeg-6b,jdpostct,1036
jpeg-6b,jquant1,3224
jpeg-6b,wrbmp,3144
jpeg-6b,djpeg,6575
jpeg-6b,jcinit,224
jpeg-6b,rdjpgcom,2579
jpeg-6b,rdgif,93
jpeg-6b,jfdctint,772
jpeg-6b,wrppm,758
jpeg-6b,wrjpgcom,3699
jpeg-6b,jcapistd,644
jpeg-6b,jchuff,3920
jpeg-6b,jdcolor,1392
jpeg-6b,jpegtran,4140
jpeg-6b,jcparam,3612
jpeg-6b,jdmerge,1632
jpeg-6b,jddctmgr,872
jpeg-6b,ansi2knr,3024
jpeg-6b,jfdctfst,520
jpeg-6b,jccolor,1712
jpeg-6b,jdphuff,3408
jpeg-6b,jmemmgr,3814
jpeg-6b,jfdctflt,1160
jpeg-6b,wrrle,0
jpeg-6b,jidctfst,900
jpeg-6b,jcmaster,3220
jpeg-6b,jdatadst,356
jpeg-6b,jutils,448
jpeg-6b,rdswitch,2308
jpeg-6b,jcprepct,1524
jpeg-6b,rdcolmap,1816
jpeg-6b,jcdctmgr,1636
jpeg-6b,jdapimin,1328
jpeg-6b,jcomapi,184
jpeg-6b,rdbmp,2216
jpeg-6b,jdcoefct,3868
jpeg-6b,jerror,5630
jpeg-6b,jidctred,1264
jpeg-6b,jidctint,1224
jpeg-6b,cjpeg,6093
jpeg-6b,rdppm,2228
jpeg-6b,jquant2,4856
jpeg-6b,jdapistd,1192
jpeg-6b,cdjpeg,144
jpeg-6b,transupp,5340
jpeg-6b,rdtarga,2172
jpeg-6b,wrgif,2884
jpeg-6b,jdhuff,2996
jpeg-6b,jctrans,1644
jpeg-6b,jdmarker,7504
jpeg-6b,jcmarker,2240
jpeg-6b,jccoefct,2096
jpeg-6b,jcsample,2276
jpeg-6b,jcapimin,988
jpeg-6b,jmemnobs,72
jpeg-6b,jidctflt,1584
jpeg-6b,jdtrans,436
jpeg-6b,jdatasrc,416
jpeg-6b,jdinput,1520
jpeg-6b,jcphuff,3348
jpeg-6b,rdrle,0
libmspack,test/md5,3600
libmspack,test/cabd_md5,1333
libmspack,test/cabextract_md5,24966
libmspack,test/cabrip,527
libmspack,test/chmd_md5,1222
libmspack,test/cabd_test,10410
libmspack,mspack/lzxc,0
libmspack,mspack/qtmc,0
libmspack,mspack/kwajc,12
libmspack,mspack/cabc,12
libmspack,mspack/szddc,12
libmspack,mspack/cabd,7216
libmspack,mspack/hlpd,12
libmspack,mspack/litd,12
libmspack,mspack/mszipd,36
libmspack,mspack/kwajd,12
libmspack,mspack/qtmd,6052
libmspack,mspack/litc,12
libmspack,mspack/lzxd,7108
libmspack,mspack/mszipc,0
libmspack,mspack/chmd,4124
libmspack,mspack/szddd,12
libmspack,mspack/chmc,12
libmspack,mspack/system,826
libmspack,mspack/hlpc,12
libpng-1.2.5,pngtrans,2276
libpng-1.2.5,pngwrite,7037
libpng-1.2.5,pngtest,7072
libpng-1.2.5,pngerror,1087
libpng-1.2.5,pngpread,6623
